number,companyName,adress,adressBystreet,dateOflicensing,stateOfbusiness,dateOfclosure,startdateOfcessation,duedateOfcessation,dateOfreOpen,areaOfsite,zip,waterwork,numOfmenWorker,yearOfStart,multipleUse,grade,sizeOfsite,numOfwomenWorker,vicintyOfsite,sanitaryName,businessCondition,totalOfworker
44299,플랫화이트,서울특별시 중구 신당동 52-134번지 1층 ,"서울특별시 중구 퇴계로86가길 15, 1층 (신당동)",20120730,폐업 등,20131113,,,,,,,,2012,N,,40,,,휴게음식점,커피숍,
44300,플러스,충청남도 천안시 동남구 영성동 85-2번지 ,,20141006,운영중,,,,,,,상수도전용,,2014,N,,39.2,,,휴게음식점,커피숍,
44301,플러스 커피앤코,서울특별시 종로구 내수동 4번지 1층 ,"서울특별시 종로구 새문안로5가길 11, 1층 (내수동)",20131224,운영중,,,,,,,,,2013,N,,56.4,,,휴게음식점,커피숍,
44302,플러스91,서울특별시 용산구 한남동 683-1번지 ,"서울특별시 용산구 이태원로54길 20 (한남동, 683-1 지상1층)",20130122,운영중,,,,,,,,,2013,N,,19.73,,,휴게음식점,커피숍,
44303,플러스91,서울특별시 용산구 한남동 683-1번지 (지상1층)101호 ,"서울특별시 용산구 이태원로54길 20 (한남동, 683-1 지상1층 101호)",20111223,폐업 등,20121203,,,,,,,,2011,N,,19.73,,,휴게음식점,커피숍,
44304,플러스까페,대전광역시 대덕구 신탄진동 144-25번지 ,"대전광역시 대덕구 신탄진로 820, 2층 (신탄진동)",20120702,운영중,,,,,,,상수도전용,1,2012,N,,75,,,휴게음식점,커피숍,
44305,플러스알파,경기도 양평군 용문면 다문리 327-6번지 1층 ,"경기도 양평군 용문면 용문로 368-1, 1층",20141121,운영중,,,,,,,상수도전용,,2014,N,,22.2,,기타,휴게음식점,커피숍,
44306,플러스원,경상남도 창원시 마산회원구 석전동 151-3번지 ,경상남도 창원시 마산회원구 석전남16길 2 (석전동),20140811,운영중,,,,,,,상수도전용,,2014,N,,41.25,,주택가주변,휴게음식점,커피숍,
44307,플러스원COFFEE,대구광역시 동구 덕곡동 34번지 외32필지 L동 ,"대구광역시 동구 팔공산로 225, L동 (덕곡동,외32필지)",20080807,운영중,,,,,,,지하수전용,,2008,N,자율,74.6,,기타,휴게음식점,커피숍,
44308,플러스육,경기도 고양시 일산동구 장항동 763-3번지 일산라페스타E동 124호 ,"경기도 고양시 일산동구 무궁화로 32-12 (장항동,일산라페스타E동 124호)",20090804,폐업 등,20140609,,,,,,상수도전용,,2009,N,,40.43,,,휴게음식점,커피숍,
44309,플러스육,경기도 고양시 일산동구 장항동 763번지 외3필지 일산 라페스타E 212호 ,"경기도 고양시 일산동구 무궁화로 32-12 (장항동,외3필지 일산 라페스타E 212호)",20101130,폐업 등,20140609,,,,,,상수도전용,,2010,N,,66.2,,,휴게음식점,커피숍,
44310,플러스카페,서울특별시 종로구 수송동 146-2번지 ,"서울특별시 종로구 삼봉로 43, 1층 (수송동)",20121217,운영중,,,,,,,,,2012,N,,17,,,휴게음식점,커피숍,
44311,플럼프커피,대구광역시 달서구 상인동 1401-5번지 1층 ,"대구광역시 달서구 월곡로 255, 1층 (상인동)",20141104,운영중,,,,,,,상수도전용,,2014,N,,39.68,,기타,휴게음식점,커피숍,
44312,플레로마,경기도 수원시 팔달구 매산로3가 28-6번지 1층 ,"경기도 수원시 팔달구 매산로 61-11, 1층 (매산로3가)",20110622,운영중,,,,,,,,,2011,N,,45.09,,,휴게음식점,커피숍,
